S000000001	TFC3	YAL001C|FUN24|TSV115
S000003872	YJR111C	YJR111C
S000003873	NNF1	YJR112W
S000003874	RSM7	YJR113C|mitochondrial 37S ribosomal protein RSM7
S000003876	YJR115W	YJR115W
S000003877	TDA4	YJR116W
S000003878	STE24	YJR117W|AFC1|PIO2
S000003879	ILM1	YJR118C
S000003880	JHD2	YJR119C|KDM5
S000003881	YJR120W	YJR120W
S000003882	ATP2	YJR121W|F1F0 ATP synthase subunit beta
S000003883	IBA57	YJR122W|CAF17
S000003884	RPS5	YJR123W|ribosomal 40S subunit protein S5
S000003885	YJR124C	YJR124C
S000003886	ENT3	YJR125C
S000003887	VPS70	YJR126C
S000003888	RSF2	YJR127C|ZMS1
S000003890	YJR129C	YJR129C
S000003891	STR2	YJR130C
S000003892	MNS1	YJR131W
S000003893	NMD5	YJR132W|KAP119
S000003894	XPT1	YJR133W|xanthine phosphoribosyltransferase
S000003895	SGM1	YJR134C
S000003896	MCM22	YJR135C
S000003897	TTI2	YJR136C
S000003898	MET5	YJR137C|ECM17|sulfite reductase (NADPH) subunit beta
S000003899	IML1	YJR138W|SEA1
S000003900	HOM6	YJR139C|THR6|homoserine dehydrogenase
S000003901	HIR3	YJR140C|HPC1
S000003902	YJR141W	YJR141W
S000003903	YJR142W	YJR142W
S000003904	PMT4	YJR143C
S000003905	MGM101	YJR144W|MGM9
S000003906	RPS4A	YJR145C|ribosomal 40S subunit protein S4A
S000003907	YJR146W	YJR146W
S000003908	HMS2	YJR147W
S000003909	BAT2	YJR148W|ECA40|TWT2|branched-chain-amino-acid transaminase BAT2
S000003910	YJR149W	YJR149W
S000003911	DAN1	YJR150C|CCW13
S000003912	DAN4	YJR151C
S000003913	DAL5	YJR152W|UREP1
S000003914	PGU1	YJR153W|PGL1|PSM1
S000003915	YJR154W	YJR154W
S000003916	AAD10	YJR155W
S000003917	THI11	YJR156C
S000003919	HXT16	YJR158W
S000003920	SOR1	YJR159W|L-iditol 2-dehydrogenase SOR1|SDH1
S000003921	MPH3	YJR160C
S000003922	COS5	YJR161C
S000003924	DNM1	YLL001W
S000003925	RTT109	YLL002W|KIM2|REM50
S000003926	SFI1	YLL003W
S000003927	ORC3	YLL004W|origin recognition complex subunit 3
S000003928	SPO75	YLL005C
S000003929	MMM1	YLL006W|YME6
S000003930	YLL007C	YLL007C
S000003931	DRS1	YLL008W
S000003932	COX17	YLL009C
S000003933	PSR1	YLL010C
S000003934	SOF1	YLL011W
S000003935	YEH1	YLL012W
S000003936	PUF3	YLL013C
S000003937	EMC6	YLL014W
S000003938	BPT1	YLL015W|ATP-binding cassette bilirubin transporter BPT1
S000003939	SDC25	YLL016W
S000003940	YLL017W	YLL017W|SDC25
S000003941	DPS1	YLL018C|aspartate--tRNA ligase DPS1
S000003942	KNS1	YLL019C|L124
S000003944	SPA2	YLL021W|FUS6|PEA1
S000003945	HIF1	YLL022C
S000003946	POM33	YLL023C
S000003947	SSA2	YLL024C|Hsp70 family chaperone SSA2|YG102
S000003948	PAU17	YLL025W
S000003949	HSP104	YLL026W|chaperone ATPase HSP104
S000003950	ISA1	YLL027W
S000003951	TPO1	YLL028W
S000003952	FRA1	YLL029W|RUP2
S000003954	GPI13	YLL031C|MPC1
S000003955	YLL032C	YLL032C
S000003956	IRC19	YLL033W|GON2|RRG4
S000003957	RIX7	YLL034C|putative AAA family ATPase RIX7
S000003958	GRC3	YLL035W
S000003959	PRP19	YLL036C|E3 ubiquitin-protein ligase PRP19|PSO4
S000003961	ENT4	YLL038C
S000003962	UBI4	YLL039C|SCD2|UB14|ubiquitin
S000003963	VPS13	YLL040C|SOI1|VPT2
S000003964	SDH2	YLL041C|ACN17|SDHB|succinate dehydrogenase iron-sulfur protein subunit SDH2
S000003965	ATG10	YLL042C|APG10
S000003966	FPS1	YLL043W
S000003968	RPL8B	YLL045C|KRB1|SCL41|ribosomal 60S subunit protein L8B
S000003969	RNP1	YLL046C
S000003971	YBT1	YLL048C|BAT1|bile acid-transporting ATPase YBT1
S000003972	LDB18	YLL049W
S000003973	COF1	YLL050C
S000003974	FRE6	YLL051C
S000003975	AQY2	YLL052C
S000003976	YLL053C	YLL053C
S000003977	YLL054C	YLL054C
S000003978	YCT1	YLL055W
S000003979	YLL056C	YLL056C
S000003980	JLP1	YLL057C
S000003981	YLL058W	YLL058W|cystathionine gamma-synthase
S000003983	GTT2	YLL060C|glutathione transferase GTT2
S000003984	MMP1	YLL061W
S000003985	MHT1	YLL062C
S000003986	AYT1	YLL063C
S000003987	PAU18	YLL064C
S000003989	YLL066C	YLL066C|Y' element ATP-dependent helicase
S000003990	YLL067C	YLL067C|Y' element ATP-dependent helicase
S000003991	YLR001C	YLR001C
S000003992	NOC3	YLR002C
S000003993	CMS1	YLR003C
S000003994	THI73	YLR004C
S000003995	SSL1	YLR005W
S000003996	SSK1	YLR006C
S000003997	NSE1	YLR007W
S000003998	PAM18	YLR008C|TIM14
S000003999	RLP24	YLR009W
S000004000	TEN1	YLR010C
S000004001	LOT6	YLR011W
S000004002	YLR012C	YLR012C
S000004003	GAT3	YLR013W
S000004004	PPR1	YLR014C
S000004005	BRE2	YLR015W|CPS60
S000004006	PML1	YLR016C
S000004007	MEU1	YLR017W|S-methyl-5-thioadenosine phosphorylase
S000004008	POM34	YLR018C
S000004009	PSR2	YLR019W
S000004010	YEH2	YLR020C
S000004011	IRC25	YLR021W|DMP2|PBA3|POC3
S000004012	SDO1	YLR022C
S000004013	IZH3	YLR023C
S000004014	UBR2	YLR024C|putative ubiquitin-protein ligase UBR2
S000004015	SNF7	YLR025W|DID1|RNS4|VPL5|VPS32
S000004016	SED5	YLR026C
S000004017	AAT2	YLR027C|ASP5|aspartate transaminase AAT2
S000004018	ADE16	YLR028C|bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase ADE16
S000004019	RPL15A	YLR029C|RPL10A|ribosomal 60S subunit protein L15A
S000004020	YLR030W	YLR030W
S000004021	YLR031W	YLR031W
S000004022	RAD5	YLR032W|DNA helicase RAD5|REV2|SNM2
S000004023	RSC58	YLR033W
S000004024	SMF3	YLR034C|putative divalent metal ion transporter SMF3
S000004025	MLH2	YLR035C|mismatch repair protein MLH2
S000004026	YLR036C	YLR036C
S000004027	PAU23	YLR037C|DAN2
S000004028	COX12	YLR038C|cytochrome c oxidase subunit VIb
S000004029	RIC1	YLR039C
S000004030	YLR040C	YLR040C
S000004032	YLR042C	YLR042C
S000004033	TRX1	YLR043C|LMA1
S000004034	PDC1	YLR044C|indolepyruvate decarboxylase 1
S000004035	STU2	YLR045C
S000004036	YLR046C	YLR046C|RLA1
S000004037	FRE8	YLR047C
S000004038	RPS0B	YLR048W|NAB1B|YST2|ribosomal 40S subunit protein S0B
S000004039	YLR049C	YLR049C
S000004040	YLR050C	YLR050C
S000004041	FCF2	YLR051C
S000004042	IES3	YLR052W
S000004043	YLR053C	YLR053C
S000004044	OSW2	YLR054C
S000004045	SPT8	YLR055C
S000004046	ERG3	YLR056W|C-5 sterol desaturase|PSO6|SYR1
S000004047	MNL2	YLR057W
S000004048	SHM2	YLR058C|SHMT2|glycine hydroxymethyltransferase SHM2
S000004049	REX2	YLR059C|YNT20
S000004050	FRS1	YLR060W|phenylalanine--tRNA ligase subunit beta
S000004051	RPL22A	YLR061W|ribosomal 60S subunit protein L22A
S000004053	YLR063W	YLR063W
S000004054	PER33	YLR064W
S000004055	ENV10	YLR065C
S000004056	SPC3	YLR066W
S000004057	PET309	YLR067C
S000004058	FYV7	YLR068W
S000004059	MEF1	YLR069C
S000004060	XYL2	YLR070C|D-xylulose reductase XYL2
S000004061	RGR1	YLR071C|MED14
S000004062	YLR072W	YLR072W
S000004063	RFU1	YLR073C
S000004064	BUD20	YLR074C
S000004065	RPL10	YLR075W|GRC5|QSR1|ribosomal 60S subunit protein L10
S000004067	FMP25	YLR077W|BCA1
S000004068	BOS1	YLR078C|SEC32
S000004069	SIC1	YLR079W|SDB25
S000004070	EMP46	YLR080W
S000004071	GAL2	YLR081W
S000004072	SRL2	YLR082C
S000004073	EMP70	YLR083C|TMN1|p24a
S000004074	RAX2	YLR084C
S000004075	ARP6	YLR085C
S000004076	SMC4	YLR086W|condensin subunit SMC4
S000004077	CSF1	YLR087C
S000004078	GAA1	YLR088W|END2
S000004079	ALT1	YLR089C|alanine transaminase ALT1
S000004080	XDJ1	YLR090W
S000004081	GEP5	YLR091W|RRG5
S000004082	SUL2	YLR092W
S000004083	NYV1	YLR093C|MAM2
S000004084	GIS3	YLR094C
S000004085	IOC2	YLR095C
S000004086	KIN2	YLR096W
S000004087	HRT3	YLR097C|SCF ubiquitin ligase complex subunit HRT3
S000004088	CHA4	YLR098C|SIL2|SIL3
S000004089	ICT1	YLR099C|lysophosphatidic acid acyltransferase ICT1
S000004090	ERG27	YLR100W|3-keto-steroid reductase
S000004092	APC9	YLR102C|anaphase promoting complex subunit 9
S000004093	CDC45	YLR103C|SLD4
S000004094	LCL2	YLR104W
S000004095	SEN2	YLR105C
S000004096	MDN1	YLR106C|AAA family ATPase midasin|REA1
S000004097	REX3	YLR107W
S000004098	YLR108C	YLR108C
S000004099	AHP1	YLR109W
S000004100	CCW12	YLR110C
S000004103	HOG1	YLR113W|SSK3
S000004104	AVL9	YLR114C
S000004105	CFT2	YLR115W|YDH1
S000004106	MSL5	YLR116W
S000004107	CLF1	YLR117C|NTC77|SYF3
S000004108	YLR118C	YLR118C|APT1|palmitoyl-(protein) hydrolase
S000004109	SRN2	YLR119W|SRN10|VPL16|VPS37
S000004110	YPS1	YLR120C|YAP3
S000004111	YPS3	YLR121C|YPS4
S000004115	YLR125W	YLR125W
S000004116	YLR126C	YLR126C|putative amidotransferase
S000004117	APC2	YLR127C|RSI1|TID2|anaphase promoting complex subunit 2
S000004118	DCN1	YLR128W|NEDD8 ligase DCN1
S000004119	DIP2	YLR129W|UTP12
S000004120	ZRT2	YLR130C|low-affinity Zn(2+) transporter ZRT2
S000004121	ACE2	YLR131C
S000004122	USB1	YLR132C
S000004123	CKI1	YLR133W|bifunctional choline kinase/ethanolamine kinase CKI1
S000004124	PDC5	YLR134W|indolepyruvate decarboxylase 5
S000004125	SLX4	YLR135W
S000004126	TIS11	YLR136C|CTH2
S000004127	RKM5	YLR137W
S000004128	NHA1	YLR138W
S000004129	SLS1	YLR139C
S000004131	RRN5	YLR141W
S000004132	PUT1	YLR142W|proline dehydrogenase
S000004133	DPH6	YLR143W
S000004134	ACF2	YLR144C|ENG2|PCA1
S000004135	RMP1	YLR145W
S000004136	SPE4	YLR146C|spermine synthase
S000004137	SMD3	YLR147C|SLT16
S000004138	PEP3	YLR148W|VAM8|VPS18|VPT18
S000004139	YLR149C	YLR149C
S000004140	STM1	YLR150W|MPT4
S000004141	PCD1	YLR151C
S000004142	YLR152C	YLR152C
S000004143	ACS2	YLR153C|acetate--CoA ligase ACS2
S000004144	RNH203	YLR154C
S000004145	ASP3-1	YLR155C|ASP3|asparaginase ASP3-1
S000004146	YLR156W	YLR156W
S000004147	ASP3-2	YLR157C|ASP3|asparaginase ASP3-2
S000004148	ASP3-3	YLR158C|ASP3|asparaginase ASP3-3
S000004149	YLR159W	YLR159W
S000004150	ASP3-4	YLR160C|ASP3|asparaginase ASP3-4
S000004151	YLR161W	YLR161W
S000004152	YLR162W	YLR162W
S000004153	MAS1	YLR163C|MIF1
S000004154	SHH4	YLR164W|protein SHH4
S000004155	PUS5	YLR165C|pseudouridine synthase PUS5
S000004156	SEC10	YLR166C
S000004157	RPS31	YLR167W|RPS37|UB13|UBI3|ubiquitin-ribosomal 40S subunit protein S31 fusion protein
S000004158	UPS2	YLR168C|AIM30|GEP1|MSF1|MSF1'
S000004160	APS1	YLR170C|YAP19
S000004162	DPH5	YLR172C|diphthine synthase
S000004163	YLR173W	YLR173W
S000004164	IDP2	YLR174W|isocitrate dehydrogenase (NADP(+)) IDP2
S000004165	CBF5	YLR175W|pseudouridine synthase CBF5
S000004166	RFX1	YLR176C|CRT1
S000004167	YLR177W	YLR177W
S000004168	TFS1	YLR178C|DKA1
S000004169	YLR179C	YLR179C
S000004170	SAM1	YLR180W|ETH10|methionine adenosyltransferase SAM1
S000004171	VTA1	YLR181C
S000004172	SWI6	YLR182W|PSL8|SDS11
S000004173	TOS4	YLR183C
S000004175	RPL37A	YLR185W|ribosomal 60S subunit protein L37A
S000004176	EMG1	YLR186W|NEP1
S000004177	SKG3	YLR187W
S000004178	MDL1	YLR188W|ATP-binding cassette permease MDL1
S000004179	ATG26	YLR189C|UGT51
S000004180	MMR1	YLR190W
S000004181	PEX13	YLR191W|PAS20
S000004182	HCR1	YLR192C
S000004183	UPS1	YLR193C
S000004184	YLR194C	YLR194C
S000004185	NMT1	YLR195C|CDC72
S000004186	PWP1	YLR196W
S000004187	NOP56	YLR197W|SIK1
S000004189	PBA1	YLR199C|POC1
S000004190	YKE2	YLR200W|GIM1|PFD6
S000004191	COQ9	YLR201C|FMP53
S000004193	MSS51	YLR203C
S000004194	QRI5	YLR204W|COX24
S000004195	HMX1	YLR205C
S000004196	ENT2	YLR206W
S000004197	HRD3	YLR207W|ubiquitin ligase complex subunit HRD3
S000004198	SEC13	YLR208W|ANU3
S000004199	PNP1	YLR209C|purine-nucleoside phosphorylase
S000004200	CLB4	YLR210W
S000004201	YLR211C	YLR211C
S000004202	TUB4	YLR212C
S000004203	CRR1	YLR213C
S000004204	FRE1	YLR214W
S000004205	CDC123	YLR215C
S000004206	CPR6	YLR216C|CYP40|peptidylprolyl isomerase CPR6
S000004208	COA4	YLR218C|CMC3
S000004209	MSC3	YLR219W
S000004210	CCC1	YLR220W
S000004211	RSA3	YLR221C
S000004212	UTP13	YLR222C
S000004213	IFH1	YLR223C
S000004214	YLR224W	YLR224W
S000004215	YLR225C	YLR225C
S000004216	BUR2	YLR226W|CST4
S000004217	ADY4	YLR227C
S000004218	ECM22	YLR228C
S000004219	CDC42	YLR229C
S000004221	BNA5	YLR231C|kynureninase
S000004223	EST1	YLR233C
S000004224	TOP3	YLR234W|DNA topoisomerase 3|EDR1
S000004227	THI7	YLR237W|THI10
S000004228	FAR10	YLR238W
S000004229	LIP2	YLR239C|lipoyl(octanoyl) transferase LIP2
S000004230	VPS34	YLR240W|END12|PEP15|STT8|VPL7|VPS7|VPT29|phosphatidylinositol 3-kinase VPS34
S000004231	YLR241W	YLR241W
S000004232	ARV1	YLR242C
S000004233	GPN3	YLR243W
S000004234	MAP1	YLR244C
S000004235	CDD1	YLR245C|cytidine deaminase
S000004236	ERF2	YLR246W
S000004237	IRC20	YLR247C
S000004238	RCK2	YLR248W|CLK1|CMK3
S000004239	YEF3	YLR249W|TEF3
S000004240	SSP120	YLR250W
S000004241	SYM1	YLR251W
S000004243	YLR253W	YLR253W
S000004244	NDL1	YLR254C
S000004246	HAP1	YLR256W|CYP1
S000004247	YLR257W	YLR257W
S000004248	GSY2	YLR258W|glycogen (starch) synthase GSY2
S000004249	HSP60	YLR259C|CPN60|MIF4|MNA2|chaperone ATPase HSP60
S000004250	LCB5	YLR260W|sphinganine kinase LCB5
S000004252	YPT6	YLR262C
S000004253	RED1	YLR263W
S000004254	RPS28B	YLR264W|RPS33B|ribosomal 40S subunit protein S28B
S000004255	NEJ1	YLR265C|LIF2
S000004256	PDR8	YLR266C
S000004257	BOP2	YLR267W
S000004258	SEC22	YLR268W|SLY2|TSL26
S000004260	DCS1	YLR270W|DcpS
S000004261	YLR271W	YLR271W
S000004262	YCS4	YLR272C|LOC7
S000004263	PIG1	YLR273C
S000004264	MCM5	YLR274W|BOB1|CDC46
S000004265	SMD2	YLR275W
S000004266	DBP9	YLR276C
S000004267	YSH1	YLR277C|BRR5
S000004268	YLR278C	YLR278C
S000004271	YLR281C	YLR281C
S000004273	YLR283W	YLR283W
S000004274	ECI1	YLR284C|dodecenoyl-CoA isomerase
S000004275	NNT1	YLR285W
S000004276	CTS1	YLR286C
S000004277	YLR287C	YLR287C
S000004278	RPS30A	YLR287C-A|ribosomal 40S subunit protein S30A
S000004279	MEC3	YLR288C|PIP3|PSO9
S000004280	GUF1	YLR289W
S000004281	YLR290C	YLR290C
S000004282	GCD7	YLR291C
S000004283	SEC72	YLR292C|SEC67|SIM2
S000004284	GSP1	YLR293C|CNR1|CST17
S000004286	ATP14	YLR295C|F1F0 ATP synthase subunit h
S000004288	YLR297W	YLR297W
S000004289	YHC1	YLR298C
S000004290	ECM38	YLR299W|CIS2|gamma-glutamyltransferase
S000004291	EXG1	YLR300W|BGL1
S000004292	HRI1	YLR301W
S000004294	MET17	YLR303W|MET15|MET25|bifunctional cysteine synthase/O-acetylhomoserine aminocarboxypropyltransferase MET17
S000004295	ACO1	YLR304C|GLU1|aconitate hydratase ACO1
S000004296	STT4	YLR305C|1-phosphatidylinositol 4-kinase STT4
S000004297	UBC12	YLR306W|NEDD8-conjugating protein UBC12
S000004298	CDA1	YLR307W|chitin deacetylase CDA1
S000004299	CDA2	YLR308W|chitin deacetylase CDA2
S000004300	IMH1	YLR309C|SYS3
S000004301	CDC25	YLR310C|CDC25'|CTN1
S000004303	YLR312C	YLR312C|QNQ1
S000004304	MRPL15	YLR312W-A|mitochondrial 54S ribosomal protein YmL15
S000004305	SPH1	YLR313C|YLR312C-B
S000004306	CDC3	YLR314C|septin CDC3
S000004307	NKP2	YLR315W
S000004308	TAD3	YLR316C
S000004310	EST2	YLR318W|TERT
S000004311	BUD6	YLR319C|AIP3
S000004312	MMS22	YLR320W|SLM2
S000004313	SFH1	YLR321C
S000004315	CWC24	YLR323C
S000004316	PEX30	YLR324W
S000004317	RPL38	YLR325C|ribosomal 60S subunit protein L38
S000004318	YLR326W	YLR326W
S000004319	TMA10	YLR327C|RBF9|SFL2
S000004320	NMA1	YLR328W|nicotinamide-nucleotide adenylyltransferase NMA1
S000004321	REC102	YLR329W
S000004322	CHS5	YLR330W|CAL3
S000004324	MID2	YLR332W|KAI1
S000004325	RPS25B	YLR333C|ribosomal 40S subunit protein S25B
S000004327	NUP2	YLR335W
S000004328	SGD1	YLR336C
S000004329	VRP1	YLR337C|END5|MDP2|YLR337W
S000004332	RPP0	YLR340W|RPL10E|ribosomal protein P0
S000004333	SPO77	YLR341W
S000004334	FKS1	YLR342W|CND1|CWH53|ETG1|GSC1|PBR1
S000004335	GAS2	YLR343W
S000004336	RPL26A	YLR344W|ribosomal 60S subunit protein L26A
S000004337	YLR345W	YLR345W|bifunctional fructose-2,6-bisphosphate 2-phosphatase/6-phosphofructo-2-kinase
S000004338	YLR346C	YLR346C
S000004339	KAP95	YLR347C|RSL1
S000004340	DIC1	YLR348C
S000004342	ORM2	YLR350W
S000004343	NIT3	YLR351C
S000004344	YLR352W	YLR352W
S000004345	BUD8	YLR353W
S000004346	TAL1	YLR354C|sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate transaldolase TAL1
S000004347	ILV5	YLR355C|ketol-acid reductoisomerase
S000004348	ATG33	YLR356W
S000004349	RSC2	YLR357W
S000004350	YLR358C	YLR358C
S000004351	ADE13	YLR359W|BRA1|BRA8|adenylosuccinase ADE13
S000004352	VPS38	YLR360W|VPL17
S000004353	DCR2	YLR361C
S000004354	STE11	YLR362W
S000004355	NMD4	YLR363C
S000004356	GRX8	YLR364W|glutathione-disulfide reductase GRX8
S000004359	RPS22B	YLR367W|ribosomal 40S subunit protein S22B
S000004360	MDM30	YLR368W|DSG1|SCF ubiquitin ligase complex subunit MDM30
S000004361	SSQ1	YLR369W|Hsp70 family ATPase SSQ1|SSC2|SSH1
S000004362	ARC18	YLR370C
S000004363	ROM2	YLR371W
S000004364	SUR4	YLR372W|APA1|ELO3|SRE1|VBM1|fatty acid elongase SUR4
S000004365	VID22	YLR373C
S000004367	STP3	YLR375W
S000004368	PSY3	YLR376C
S000004369	FBP1	YLR377C|ACN8|fructose 1,6-bisphosphate 1-phosphatase
S000004370	SEC61	YLR378C
S000004372	CSR1	YLR380W|SFH2
S000004373	CTF3	YLR381W|CHL3
S000004374	NAM2	YLR382C|MSL1|leucine--tRNA ligase NAM2
S000004375	SMC6	YLR383W|DNA repair protein SMC6|RHC18
S000004376	IKI3	YLR384C|ELP1|Elongator subunit IKI3|KTI7|TOT1
S000004377	SWC7	YLR385C|AWS1
S000004378	VAC14	YLR386W
S000004379	REH1	YLR387C
S000004380	RPS29A	YLR388W|YS29A|ribosomal 40S subunit protein S29A
S000004381	STE23	YLR389C
S000004382	ECM19	YLR390W
S000004384	ART10	YLR392C
S000004385	ATP10	YLR393W
S000004386	CST9	YLR394W|SUMO ligase CST9|ZIP3
S000004387	COX8	YLR395C|cytochrome c oxidase subunit VIII
S000004388	VPS33	YLR396C|CLS14|MET27|PEP14|SLP1|VAM5|VPL25|VPT33
S000004389	AFG2	YLR397C|AAA family ATPase AFG2|DRG1
S000004390	SKI2	YLR398C
S000004391	BDF1	YLR399C
S000004393	DUS3	YLR401C
S000004395	SFP1	YLR403W|[ISP(+)]|[ISP+]
S000004396	FLD1	YLR404W|SEI1
S000004397	DUS4	YLR405W
S000004398	RPL31B	YLR406C|ribosomal 60S subunit protein L31B
S000004399	YLR407W	YLR407W
S000004400	BLS1	YLR408C|BLB1
S000004401	UTP21	YLR409C
S000004402	VIP1	YLR410W|inositol polyphosphate kinase VIP1
S000004403	CTR3	YLR411W
S000004404	BER1	YLR412W
S000004405	YLR413W	YLR413W
S000004406	PUN1	YLR414C
S000004407	YLR415C	YLR415C
S000004409	VPS36	YLR417W|GRD12|VAC3|VPL11
S000004410	CDC73	YLR418C
S000004411	YLR419W	YLR419W|putative helicase
S000004412	URA4	YLR420W|dihydroorotase
S000004413	RPN13	YLR421C|proteasome regulatory particle lid subunit RPN13
S000004414	YLR422W	YLR422W
S000004415	ATG17	YLR423C|APG17
S000004416	SPP382	YLR424W|CCF8|NTR1
S000004417	TUS1	YLR425W|SOP10
S000004418	TDA5	YLR426W
S000004419	MAG2	YLR427W
S000004421	CRN1	YLR429W
S000004422	SEN1	YLR430W|CIK3|NRD2|putative DNA/RNA helicase SEN1
S000004423	ATG23	YLR431C|CVT23
S000004424	IMD3	YLR432W|IMP dehydrogenase IMD3
S000004425	CNA1	YLR433C|CMP1
S000004427	TSR2	YLR435W
S000004428	ECM30	YLR436C
S000004429	DIF1	YLR437C
S000004430	CAR2	YLR438W|cargB|ornithine-oxo-acid transaminase
S000004431	MRPL4	YLR439W|mitochondrial 54S ribosomal protein YmL4
S000004432	SEC39	YLR440C|DSL3
S000004433	RPS1A	YLR441C|RP10A|ribosomal 40S subunit protein S1A
S000004434	SIR3	YLR442C|CMT1|MAR2|STE8
S000004435	ECM7	YLR443W|ZRG15
S000004437	GMC2	YLR445W
S000004438	YLR446W	YLR446W|hexokinase
S000004439	VMA6	YLR447C
S000004440	RPL6B	YLR448W|ribosomal 60S subunit protein L6B
S000004441	FPR4	YLR449W|peptidylprolyl isomerase FPR4
S000004442	HMG2	YLR450W|hydroxymethylglutaryl-CoA reductase (NADPH) HMG2
S000004443	LEU3	YLR451W
S000004444	SST2	YLR452C
S000004445	RIF2	YLR453C
S000004446	FMP27	YLR454W
S000004447	YLR455W	YLR455W
S000004448	YLR456W	YLR456W|pyridoxal 5'-phosphate synthase
S000004449	NBP1	YLR457C
S000004451	GAB1	YLR459W|CDC91
S000004452	YLR460C	YLR460C
S000004453	PAU4	YLR461W
S000004454	YLR462W	YLR462W
S000004456	YLR464W	YLR464W
S000004458	YRF1-4	YLR466W|Y' element ATP-dependent helicase protein 1 copy 4|YRF1
S000004459	YRF1-5	YLR467W|Y' element ATP-dependent helicase protein 1 copy 5|YRF1
S000004460	YPT7	YML001W|AST4|VAM4
S000004461	YML002W	YML002W
S000004462	YML003W	YML003W
S000004463	GLO1	YML004C|lactoylglutathione lyase GLO1
S000004464	TRM12	YML005W|TYW2
S000004465	GIS4	YML006C
S000004466	YAP1	YML007W|PAR1|SNQ3
S000004467	ERG6	YML008C|ISE1|LIS1|SED6|VID1|sterol 24-C-methyltransferase
S000004468	MRPL39	YML009C|mitochondrial 54S ribosomal protein YmL39
S000004470	SPT5	YML010W
S000004472	RAD33	YML011C
S000004473	ERV25	YML012W
S000004475	UBX2	YML013W|SEL1
S000004476	TRM9	YML014W|KTI1
S000004477	TAF11	YML015C|TAF40
S000004478	PPZ1	YML016C
S000004479	PSP2	YML017W|MRS15
S000004480	YML018C	YML018C
S000004481	OST6	YML019W
S000004482	YML020W	YML020W
S000004483	UNG1	YML021C
S000004484	APT1	YML022W|adenine phosphoribosyltransferase APT1
S000004485	NSE5	YML023C
S000004486	RPS17A	YML024W|RP51A|RPL51A|ribosomal 40S subunit protein S17A
S000004487	YML6	YML025C|mitochondrial 54S ribosomal protein YmL6
S000004488	RPS18B	YML026C|ribosomal 40S subunit protein S18B
S000004489	YOX1	YML027W
S000004490	TSA1	YML028W|TPX1|ZRG14
S000004491	USA1	YML029W
S000004492	RCF1	YML030W|AIM31
S000004493	NDC1	YML031W
S000004494	RAD52	YML032C|recombinase RAD52
S000004497	SRC1	YML034W|HEH1|YML033W
S000004498	AMD1	YML035C|AMD3|AMP deaminase
S000004500	CGI121	YML036W
S000004501	YML037C	YML037C
S000004502	YMD8	YML038C
S000004503	YML039W	YML039W|gag-pol fusion protein
S000004504	YML040W	YML040W|gag protein
S000004505	VPS71	YML041C|SWC6
S000004506	CAT2	YML042W|YCAT|carnitine O-acetyltransferase CAT2
S000004507	RRN11	YML043C
S000004508	YML045W	YML045W|gag-pol fusion protein
S000004509	PRP39	YML046W
S000004510	PRM6	YML047C|KCH2
S000004511	GSF2	YML048W|ECM6
S000004513	RSE1	YML049C
S000004514	AIM32	YML050W
S000004515	GAL80	YML051W
S000004516	SUR7	YML052W
S000004517	YML053C	YML053C
S000004518	CYB2	YML054C|FCB2
S000004519	SPC2	YML055W|SPY1
S000004520	IMD4	YML056C|IMP dehydrogenase IMD4
S000004521	CMP2	YML057W|CNA2
S000004523	SML1	YML058W
S000004524	NTE1	YML059C
S000004525	OGG1	YML060W|8-oxoguanine glycosylase OGG1
S000004526	PIF1	YML061C|TST1
S000004527	MFT1	YML062C|MFT52
S000004528	RPS1B	YML063W|PLC2|RP10B|ribosomal 40S subunit protein S1B
S000004529	TEM1	YML064C
S000004530	ORC1	YML065W|origin recognition complex subunit 1
S000004531	SMA2	YML066C
S000004532	ERV41	YML067C
S000004533	ITT1	YML068W
S000004534	POB3	YML069W
S000004535	DAK1	YML070W
S000004536	COG8	YML071C|DOR1
S000004537	TCB3	YML072C
S000004538	RPL6A	YML073C|YL16A|ribosomal 60S subunit protein L6A
S000004539	FPR3	YML074C|NPI46|peptidylprolyl isomerase FPR3
S000004540	HMG1	YML075C|hydroxymethylglutaryl-CoA reductase (NADPH) HMG1
S000004541	WAR1	YML076C
S000004542	BET5	YML077W
S000004543	CPR3	YML078W|CYP3|peptidylprolyl isomerase CPR3
S000004544	YML079W	YML079W
S000004545	DUS1	YML080W
S000004546	TDA9	YML081W|AAF1
S000004547	YML082W	YML082W|putative cystathionine gamma-synthase
S000004548	YML083C	YML083C
S000004550	TUB1	YML085C
S000004551	ALO1	YML086C|D-arabinono-1,4-lactone oxidase
S000004552	AIM33	YML087C
S000004553	UFO1	YML088W|SCF ubiquitin ligase complex subunit UFO1
S000004556	RPM2	YML091C
S000004557	PRE8	YML092C|proteasome core particle subunit alpha 2
S000004558	UTP14	YML093W
S000004559	GIM5	YML094W|PFD5
S000004560	RAD10	YML095C
S000004562	YML096W	YML096W|putative asparagine synthase
S000004563	VPS9	YML097C|VPL31|VPT9
S000004564	TAF13	YML098W|FUN81|TAF19
S000004565	ARG81	YML099C|ARGR2|ARGRII
S000004566	TSL1	YML100W
S000004568	CUE4	YML101C
